Student's First name,Student's Last name,Username,Password,Class key
Perf Child 1401,Test,perfchild_account_0410_s1_1401,Compro11,Cp7n-iMk2
Perf Child 1402,Test,perfchild_account_0410_s1_1402,Compro11,8XiT-oxcr
Perf Child 1403,Test,perfchild_account_0410_s1_1403,Compro11,JM6U-7iGp
Perf Child 1404,Test,perfchild_account_0410_s1_1404,Compro11,aX7J-xoT3
Perf Child 1405,Test,perfchild_account_0410_s1_1405,Compro11,6ryh-jk9D
Perf Child 1406,Test,perfchild_account_0410_s1_1406,Compro11,Ka6D-fuCu
Perf Child 1407,Test,perfchild_account_0410_s1_1407,Compro11,4kRE-4jb9
Perf Child 1408,Test,perfchild_account_0410_s1_1408,Compro11,XJs6-24X8
Perf Child 1409,Test,perfchild_account_0410_s1_1409,Compro11,7K7N-eu2A
Perf Child 1410,Test,perfchild_account_0410_s1_1410,Compro11,bCBj-a8xa
Perf Child 1411,Test,perfchild_account_0410_s1_1411,Compro11,k2Aj-ZPnw
Perf Child 1412,Test,perfchild_account_0410_s1_1412,Compro11,2gvP-Mfdx
Perf Child 1413,Test,perfchild_account_0410_s1_1413,Compro11,pW32-X7UA
Perf Child 1414,Test,perfchild_account_0410_s1_1414,Compro11,p93Y-fg2x
Perf Child 1415,Test,perfchild_account_0410_s1_1415,Compro11,j63P-gWvk
Perf Child 1416,Test,perfchild_account_0410_s1_1416,Compro11,9BRq-8fYv
Perf Child 1417,Test,perfchild_account_0410_s1_1417,Compro11,peGd-f8sG
Perf Child 1418,Test,perfchild_account_0410_s1_1418,Compro11,bz9v-AJBF
Perf Child 1419,Test,perfchild_account_0410_s1_1419,Compro11,Grmo-m4Mo
Perf Child 1420,Test,perfchild_account_0410_s1_1420,Compro11,9nU7-cBeD
Perf Child 1421,Test,perfchild_account_0410_s1_1421,Compro11,h4az-a39k
Perf Child 1422,Test,perfchild_account_0410_s1_1422,Compro11,UHWo-KQF3
Perf Child 1423,Test,perfchild_account_0410_s1_1423,Compro11,MhAT-c3pG
Perf Child 1424,Test,perfchild_account_0410_s1_1424,Compro11,2C3G-rRGA
Perf Child 1425,Test,perfchild_account_0410_s1_1425,Compro11,s3WB-R3H8
Perf Child 1426,Test,perfchild_account_0410_s1_1426,Compro11,4jf4-6Tr6
Perf Child 1427,Test,perfchild_account_0410_s1_1427,Compro11,Qw3T-82fm
Perf Child 1428,Test,perfchild_account_0410_s1_1428,Compro11,oRcG-8Hiw
Perf Child 1429,Test,perfchild_account_0410_s1_1429,Compro11,bL9n-4c32
Perf Child 1430,Test,perfchild_account_0410_s1_1430,Compro11,87E2-tVQW
Perf Child 1431,Test,perfchild_account_0410_s1_1431,Compro11,qvR2-fP4W
Perf Child 1432,Test,perfchild_account_0410_s1_1432,Compro11,BExu-PwnE
Perf Child 1433,Test,perfchild_account_0410_s1_1433,Compro11,pT62-9z7W
Perf Child 1434,Test,perfchild_account_0410_s1_1434,Compro11,meu3-i6Yh
Perf Child 1435,Test,perfchild_account_0410_s1_1435,Compro11,L6dY-D76a
Perf Child 1436,Test,perfchild_account_0410_s1_1436,Compro11,7Eof-A9tA
Perf Child 1437,Test,perfchild_account_0410_s1_1437,Compro11,z8sU-8Wpc
Perf Child 1438,Test,perfchild_account_0410_s1_1438,Compro11,XbWZ-YWUy
Perf Child 1439,Test,perfchild_account_0410_s1_1439,Compro11,XDBK-EH4X
Perf Child 1440,Test,perfchild_account_0410_s1_1440,Compro11,NsCE-B28g
Perf Child 1441,Test,perfchild_account_0410_s1_1441,Compro11,k9C7-Zqf3
Perf Child 1442,Test,perfchild_account_0410_s1_1442,Compro11,YgE9-62gs
Perf Child 1443,Test,perfchild_account_0410_s1_1443,Compro11,2YRm-iCR3
Perf Child 1444,Test,perfchild_account_0410_s1_1444,Compro11,8wHT-c637
Perf Child 1445,Test,perfchild_account_0410_s1_1445,Compro11,tbu2-4TEy
Perf Child 1446,Test,perfchild_account_0410_s1_1446,Compro11,VP2M-Z2k8
Perf Child 1447,Test,perfchild_account_0410_s1_1447,Compro11,4tUH-n26N
Perf Child 1448,Test,perfchild_account_0410_s1_1448,Compro11,FL86-dxyx
Perf Child 1449,Test,perfchild_account_0410_s1_1449,Compro11,UEkc-C462
Perf Child 1450,Test,perfchild_account_0410_s1_1450,Compro11,2qjN-7yNw
Perf Child 1451,Test,perfchild_account_0410_s1_1451,Compro11,Ui9H-j43c
Perf Child 1452,Test,perfchild_account_0410_s1_1452,Compro11,R38m-29gj
Perf Child 1453,Test,perfchild_account_0410_s1_1453,Compro11,b3Uf-tV96
Perf Child 1454,Test,perfchild_account_0410_s1_1454,Compro11,waDr-8aM7
Perf Child 1455,Test,perfchild_account_0410_s1_1455,Compro11,6YNC-TLz9
Perf Child 1456,Test,perfchild_account_0410_s1_1456,Compro11,HWjs-47Cy
Perf Child 1457,Test,perfchild_account_0410_s1_1457,Compro11,N2pe-6gPV
Perf Child 1458,Test,perfchild_account_0410_s1_1458,Compro11,f3qE-3gDn
Perf Child 1459,Test,perfchild_account_0410_s1_1459,Compro11,bGp8-Y69J
Perf Child 1460,Test,perfchild_account_0410_s1_1460,Compro11,T8Mo-udhD
Perf Child 1461,Test,perfchild_account_0410_s1_1461,Compro11,mTx6-bM8c
Perf Child 1462,Test,perfchild_account_0410_s1_1462,Compro11,PAgL-9JH9
Perf Child 1463,Test,perfchild_account_0410_s1_1463,Compro11,X34b-7vtY
Perf Child 1464,Test,perfchild_account_0410_s1_1464,Compro11,axU2-ck2P
Perf Child 1465,Test,perfchild_account_0410_s1_1465,Compro11,yf84-8M8g
Perf Child 1466,Test,perfchild_account_0410_s1_1466,Compro11,ed6M-7sn2
Perf Child 1467,Test,perfchild_account_0410_s1_1467,Compro11,WVuK-c42r
Perf Child 1468,Test,perfchild_account_0410_s1_1468,Compro11,9Krj-3HsN
Perf Child 1469,Test,perfchild_account_0410_s1_1469,Compro11,xR6J-2eCF
Perf Child 1470,Test,perfchild_account_0410_s1_1470,Compro11,QoA7-487G
Perf Child 1471,Test,perfchild_account_0410_s1_1471,Compro11,2ioG-Pqan
Perf Child 1472,Test,perfchild_account_0410_s1_1472,Compro11,n4F6-FLe9
Perf Child 1473,Test,perfchild_account_0410_s1_1473,Compro11,FpUy-YC2Y
Perf Child 1474,Test,perfchild_account_0410_s1_1474,Compro11,7Cw3-BdFG
Perf Child 1475,Test,perfchild_account_0410_s1_1475,Compro11,ktQ4-68g4
Perf Child 1476,Test,perfchild_account_0410_s1_1476,Compro11,i49J-dryD
Perf Child 1477,Test,perfchild_account_0410_s1_1477,Compro11,dv8k-gpCi
Perf Child 1478,Test,perfchild_account_0410_s1_1478,Compro11,QbBM-eN9T
Perf Child 1479,Test,perfchild_account_0410_s1_1479,Compro11,dBN3-pf7y
Perf Child 1480,Test,perfchild_account_0410_s1_1480,Compro11,8Y8u-mayL
Perf Child 1481,Test,perfchild_account_0410_s1_1481,Compro11,Cp7n-iMk2
Perf Child 1482,Test,perfchild_account_0410_s1_1482,Compro11,8XiT-oxcr
Perf Child 1483,Test,perfchild_account_0410_s1_1483,Compro11,JM6U-7iGp
