Student's First name,Student's Last name,Username,Password,Class key
Perf Child 601,Test,perfchild_account_0410_s1_601,Compro11,Cp7n-iMk2
Perf Child 602,Test,perfchild_account_0410_s1_602,Compro11,8XiT-oxcr
Perf Child 603,Test,perfchild_account_0410_s1_603,Compro11,JM6U-7iGp
Perf Child 604,Test,perfchild_account_0410_s1_604,Compro11,aX7J-xoT3
Perf Child 605,Test,perfchild_account_0410_s1_605,Compro11,6ryh-jk9D
Perf Child 606,Test,perfchild_account_0410_s1_606,Compro11,Ka6D-fuCu
Perf Child 607,Test,perfchild_account_0410_s1_607,Compro11,4kRE-4jb9
Perf Child 608,Test,perfchild_account_0410_s1_608,Compro11,XJs6-24X8
Perf Child 609,Test,perfchild_account_0410_s1_609,Compro11,7K7N-eu2A
Perf Child 610,Test,perfchild_account_0410_s1_610,Compro11,bCBj-a8xa
Perf Child 611,Test,perfchild_account_0410_s1_611,Compro11,k2Aj-ZPnw
Perf Child 612,Test,perfchild_account_0410_s1_612,Compro11,2gvP-Mfdx
Perf Child 613,Test,perfchild_account_0410_s1_613,Compro11,pW32-X7UA
Perf Child 614,Test,perfchild_account_0410_s1_614,Compro11,p93Y-fg2x
Perf Child 615,Test,perfchild_account_0410_s1_615,Compro11,j63P-gWvk
Perf Child 616,Test,perfchild_account_0410_s1_616,Compro11,9BRq-8fYv
Perf Child 617,Test,perfchild_account_0410_s1_617,Compro11,peGd-f8sG
Perf Child 618,Test,perfchild_account_0410_s1_618,Compro11,bz9v-AJBF
Perf Child 619,Test,perfchild_account_0410_s1_619,Compro11,Grmo-m4Mo
Perf Child 620,Test,perfchild_account_0410_s1_620,Compro11,9nU7-cBeD
Perf Child 621,Test,perfchild_account_0410_s1_621,Compro11,h4az-a39k
Perf Child 622,Test,perfchild_account_0410_s1_622,Compro11,UHWo-KQF3
Perf Child 623,Test,perfchild_account_0410_s1_623,Compro11,MhAT-c3pG
Perf Child 624,Test,perfchild_account_0410_s1_624,Compro11,2C3G-rRGA
Perf Child 625,Test,perfchild_account_0410_s1_625,Compro11,s3WB-R3H8
Perf Child 626,Test,perfchild_account_0410_s1_626,Compro11,4jf4-6Tr6
Perf Child 627,Test,perfchild_account_0410_s1_627,Compro11,Qw3T-82fm
Perf Child 628,Test,perfchild_account_0410_s1_628,Compro11,oRcG-8Hiw
Perf Child 629,Test,perfchild_account_0410_s1_629,Compro11,bL9n-4c32
Perf Child 630,Test,perfchild_account_0410_s1_630,Compro11,87E2-tVQW
Perf Child 631,Test,perfchild_account_0410_s1_631,Compro11,qvR2-fP4W
Perf Child 632,Test,perfchild_account_0410_s1_632,Compro11,BExu-PwnE
Perf Child 633,Test,perfchild_account_0410_s1_633,Compro11,pT62-9z7W
Perf Child 634,Test,perfchild_account_0410_s1_634,Compro11,meu3-i6Yh
Perf Child 635,Test,perfchild_account_0410_s1_635,Compro11,L6dY-D76a
Perf Child 636,Test,perfchild_account_0410_s1_636,Compro11,7Eof-A9tA
Perf Child 637,Test,perfchild_account_0410_s1_637,Compro11,z8sU-8Wpc
Perf Child 638,Test,perfchild_account_0410_s1_638,Compro11,XbWZ-YWUy
Perf Child 639,Test,perfchild_account_0410_s1_639,Compro11,XDBK-EH4X
Perf Child 640,Test,perfchild_account_0410_s1_640,Compro11,NsCE-B28g
Perf Child 641,Test,perfchild_account_0410_s1_641,Compro11,k9C7-Zqf3
Perf Child 642,Test,perfchild_account_0410_s1_642,Compro11,YgE9-62gs
Perf Child 643,Test,perfchild_account_0410_s1_643,Compro11,2YRm-iCR3
Perf Child 644,Test,perfchild_account_0410_s1_644,Compro11,8wHT-c637
Perf Child 645,Test,perfchild_account_0410_s1_645,Compro11,tbu2-4TEy
Perf Child 646,Test,perfchild_account_0410_s1_646,Compro11,VP2M-Z2k8
Perf Child 647,Test,perfchild_account_0410_s1_647,Compro11,4tUH-n26N
Perf Child 648,Test,perfchild_account_0410_s1_648,Compro11,FL86-dxyx
Perf Child 649,Test,perfchild_account_0410_s1_649,Compro11,UEkc-C462
Perf Child 650,Test,perfchild_account_0410_s1_650,Compro11,2qjN-7yNw
Perf Child 651,Test,perfchild_account_0410_s1_651,Compro11,Ui9H-j43c
Perf Child 652,Test,perfchild_account_0410_s1_652,Compro11,R38m-29gj
Perf Child 653,Test,perfchild_account_0410_s1_653,Compro11,b3Uf-tV96
Perf Child 654,Test,perfchild_account_0410_s1_654,Compro11,waDr-8aM7
