Student's First name,Student's Last name,Username,Password,Class key
Perf Child 601,Test,perfchild_act_0410_s1_601,Compro11,8iog-4N9K
Perf Child 602,Test,perfchild_act_0410_s1_602,Compro11,M8VP-d6dr
Perf Child 603,Test,perfchild_act_0410_s1_603,Compro11,hbrw-sbh2
Perf Child 604,Test,perfchild_act_0410_s1_604,Compro11,3G9a-We94
Perf Child 605,Test,perfchild_act_0410_s1_605,Compro11,vy28-6pPL
Perf Child 606,Test,perfchild_act_0410_s1_606,Compro11,u68V-mbyo
Perf Child 607,Test,perfchild_act_0410_s1_607,Compro11,Nmo8-ozNK
Perf Child 608,Test,perfchild_act_0410_s1_608,Compro11,zjeQ-6Pnx
Perf Child 609,Test,perfchild_act_0410_s1_609,Compro11,6u3V-TueW
Perf Child 610,Test,perfchild_act_0410_s1_610,Compro11,p6nL-YGMr
Perf Child 611,Test,perfchild_act_0410_s1_611,Compro11,XeR9-sQ7d
Perf Child 612,Test,perfchild_act_0410_s1_612,Compro11,nc7g-Jtcq
Perf Child 613,Test,perfchild_act_0410_s1_613,Compro11,9DQZ-Xd8y
Perf Child 614,Test,perfchild_act_0410_s1_614,Compro11,zUai-vE47
Perf Child 615,Test,perfchild_act_0410_s1_615,Compro11,kLVo-9qsg
Perf Child 616,Test,perfchild_act_0410_s1_616,Compro11,aq9A-QH7W
Perf Child 617,Test,perfchild_act_0410_s1_617,Compro11,MdQ3-V7ZN
Perf Child 618,Test,perfchild_act_0410_s1_618,Compro11,32f2-xpYh
Perf Child 619,Test,perfchild_act_0410_s1_619,Compro11,4mB9-b4Ke
Perf Child 620,Test,perfchild_act_0410_s1_620,Compro11,c8Km-th2n
Perf Child 621,Test,perfchild_act_0410_s1_621,Compro11,29E7-HyUd
Perf Child 622,Test,perfchild_act_0410_s1_622,Compro11,V36b-7kZ3
Perf Child 623,Test,perfchild_act_0410_s1_623,Compro11,6WK6-zbiB
Perf Child 624,Test,perfchild_act_0410_s1_624,Compro11,3kMX-vCWL
Perf Child 625,Test,perfchild_act_0410_s1_625,Compro11,yT2i-eVGT
Perf Child 626,Test,perfchild_act_0410_s1_626,Compro11,NizM-mCqy
Perf Child 627,Test,perfchild_act_0410_s1_627,Compro11,v328-jCV2
Perf Child 628,Test,perfchild_act_0410_s1_628,Compro11,QxD7-KMqt
Perf Child 629,Test,perfchild_act_0410_s1_629,Compro11,3Q8v-8j36
Perf Child 630,Test,perfchild_act_0410_s1_630,Compro11,8Ne7-Q3X3
Perf Child 631,Test,perfchild_act_0410_s1_631,Compro11,eX4v-TKWk
Perf Child 632,Test,perfchild_act_0410_s1_632,Compro11,we8Y-4f6y
Perf Child 633,Test,perfchild_act_0410_s1_633,Compro11,4Vj9-ktN7
Perf Child 634,Test,perfchild_act_0410_s1_634,Compro11,BX4y-vR67
Perf Child 635,Test,perfchild_act_0410_s1_635,Compro11,3dq7-Gwxp
Perf Child 636,Test,perfchild_act_0410_s1_636,Compro11,Jsv2-DMgt
Perf Child 637,Test,perfchild_act_0410_s1_637,Compro11,9mw9-xHYU
Perf Child 638,Test,perfchild_act_0410_s1_638,Compro11,8eYV-NriP
Perf Child 639,Test,perfchild_act_0410_s1_639,Compro11,W436-4WKN
Perf Child 640,Test,perfchild_act_0410_s1_640,Compro11,2pkg-if4W
Perf Child 641,Test,perfchild_act_0410_s1_641,Compro11,J84V-CsJ6
Perf Child 642,Test,perfchild_act_0410_s1_642,Compro11,w68k-4K8T
Perf Child 643,Test,perfchild_act_0410_s1_643,Compro11,4HnK-G8oa
Perf Child 644,Test,perfchild_act_0410_s1_644,Compro11,n4kh-Qo8P
Perf Child 645,Test,perfchild_act_0410_s1_645,Compro11,CE4R-Lsgb
Perf Child 646,Test,perfchild_act_0410_s1_646,Compro11,K2f2-4BvH
Perf Child 647,Test,perfchild_act_0410_s1_647,Compro11,47vU-67G6
Perf Child 648,Test,perfchild_act_0410_s1_648,Compro11,Jp2m-G4RG
Perf Child 649,Test,perfchild_act_0410_s1_649,Compro11,c4kd-Nv43
Perf Child 650,Test,perfchild_act_0410_s1_650,Compro11,6CfC-ArTw
Perf Child 651,Test,perfchild_act_0410_s1_651,Compro11,Eyq4-Kchg
Perf Child 652,Test,perfchild_act_0410_s1_652,Compro11,jtqh-niGf
Perf Child 653,Test,perfchild_act_0410_s1_653,Compro11,v2W2-KB97
Perf Child 654,Test,perfchild_act_0410_s1_654,Compro11,4867-3TeC
Perf Child 655,Test,perfchild_act_0410_s1_655,Compro11,n7F3-73TR
Perf Child 656,Test,perfchild_act_0410_s1_656,Compro11,EP2t-a6bG
Perf Child 657,Test,perfchild_act_0410_s1_657,Compro11,2zv8-n3pW
Perf Child 658,Test,perfchild_act_0410_s1_658,Compro11,pkC8-m7By
Perf Child 659,Test,perfchild_act_0410_s1_659,Compro11,j6Nf-8v6q
Perf Child 660,Test,perfchild_act_0410_s1_660,Compro11,A37j-2Ho8
Perf Child 661,Test,perfchild_act_0410_s1_661,Compro11,a62M-oc79
Perf Child 662,Test,perfchild_act_0410_s1_662,Compro11,xF38-zYXj
Perf Child 663,Test,perfchild_act_0410_s1_663,Compro11,73Ni-73E9
Perf Child 664,Test,perfchild_act_0410_s1_664,Compro11,4Aop-xXgw
Perf Child 665,Test,perfchild_act_0410_s1_665,Compro11,nxYG-rw4U
Perf Child 666,Test,perfchild_act_0410_s1_666,Compro11,4zE2-EKQX
Perf Child 667,Test,perfchild_act_0410_s1_667,Compro11,282x-iXR8
Perf Child 668,Test,perfchild_act_0410_s1_668,Compro11,MprX-7J6y
Perf Child 669,Test,perfchild_act_0410_s1_669,Compro11,pFPD-gc8n
Perf Child 670,Test,perfchild_act_0410_s1_670,Compro11,627n-oM2P
Perf Child 671,Test,perfchild_act_0410_s1_671,Compro11,R6Zh-GKvc
Perf Child 672,Test,perfchild_act_0410_s1_672,Compro11,3Hte-j4Gr
Perf Child 673,Test,perfchild_act_0410_s1_673,Compro11,wy62-jwoH
Perf Child 674,Test,perfchild_act_0410_s1_674,Compro11,79uc-6pkX
Perf Child 675,Test,perfchild_act_0410_s1_675,Compro11,dX7E-pRp3
Perf Child 676,Test,perfchild_act_0410_s1_676,Compro11,Ks4Q-DQjb
Perf Child 677,Test,perfchild_act_0410_s1_677,Compro11,kbg2-78Gd
Perf Child 678,Test,perfchild_act_0410_s1_678,Compro11,rf6Z-io4Y
Perf Child 679,Test,perfchild_act_0410_s1_679,Compro11,v7kq-zsdj
Perf Child 680,Test,perfchild_act_0410_s1_680,Compro11,QgjT-f4y8
Perf Child 681,Test,perfchild_act_0410_s1_681,Compro11,8iog-4N9K
Perf Child 682,Test,perfchild_act_0410_s1_682,Compro11,M8VP-d6dr
Perf Child 683,Test,perfchild_act_0410_s1_683,Compro11,hbrw-sbh2
Perf Child 684,Test,perfchild_act_0410_s1_684,Compro11,3G9a-We94
Perf Child 685,Test,perfchild_act_0410_s1_685,Compro11,vy28-6pPL
Perf Child 686,Test,perfchild_act_0410_s1_686,Compro11,u68V-mbyo
Perf Child 687,Test,perfchild_act_0410_s1_687,Compro11,Nmo8-ozNK
Perf Child 688,Test,perfchild_act_0410_s1_688,Compro11,zjeQ-6Pnx
Perf Child 689,Test,perfchild_act_0410_s1_689,Compro11,6u3V-TueW
Perf Child 690,Test,perfchild_act_0410_s1_690,Compro11,p6nL-YGMr
Perf Child 691,Test,perfchild_act_0410_s1_691,Compro11,XeR9-sQ7d
Perf Child 692,Test,perfchild_act_0410_s1_692,Compro11,nc7g-Jtcq
Perf Child 693,Test,perfchild_act_0410_s1_693,Compro11,9DQZ-Xd8y
Perf Child 694,Test,perfchild_act_0410_s1_694,Compro11,zUai-vE47
Perf Child 695,Test,perfchild_act_0410_s1_695,Compro11,kLVo-9qsg
Perf Child 696,Test,perfchild_act_0410_s1_696,Compro11,aq9A-QH7W
Perf Child 697,Test,perfchild_act_0410_s1_697,Compro11,MdQ3-V7ZN
Perf Child 698,Test,perfchild_act_0410_s1_698,Compro11,32f2-xpYh
Perf Child 699,Test,perfchild_act_0410_s1_699,Compro11,4mB9-b4Ke
Perf Child 700,Test,perfchild_act_0410_s1_700,Compro11,c8Km-th2n
Perf Child 701,Test,perfchild_act_0410_s1_701,Compro11,29E7-HyUd
Perf Child 702,Test,perfchild_act_0410_s1_702,Compro11,V36b-7kZ3
Perf Child 703,Test,perfchild_act_0410_s1_703,Compro11,6WK6-zbiB
Perf Child 704,Test,perfchild_act_0410_s1_704,Compro11,3kMX-vCWL
Perf Child 705,Test,perfchild_act_0410_s1_705,Compro11,yT2i-eVGT
Perf Child 706,Test,perfchild_act_0410_s1_706,Compro11,NizM-mCqy
Perf Child 707,Test,perfchild_act_0410_s1_707,Compro11,v328-jCV2
Perf Child 708,Test,perfchild_act_0410_s1_708,Compro11,QxD7-KMqt
Perf Child 709,Test,perfchild_act_0410_s1_709,Compro11,3Q8v-8j36
Perf Child 710,Test,perfchild_act_0410_s1_710,Compro11,8Ne7-Q3X3
Perf Child 711,Test,perfchild_act_0410_s1_711,Compro11,eX4v-TKWk
Perf Child 712,Test,perfchild_act_0410_s1_712,Compro11,we8Y-4f6y
Perf Child 713,Test,perfchild_act_0410_s1_713,Compro11,4Vj9-ktN7
Perf Child 714,Test,perfchild_act_0410_s1_714,Compro11,BX4y-vR67
Perf Child 715,Test,perfchild_act_0410_s1_715,Compro11,3dq7-Gwxp
Perf Child 716,Test,perfchild_act_0410_s1_716,Compro11,Jsv2-DMgt
Perf Child 717,Test,perfchild_act_0410_s1_717,Compro11,9mw9-xHYU
Perf Child 718,Test,perfchild_act_0410_s1_718,Compro11,8eYV-NriP
Perf Child 719,Test,perfchild_act_0410_s1_719,Compro11,W436-4WKN
Perf Child 720,Test,perfchild_act_0410_s1_720,Compro11,2pkg-if4W
Perf Child 721,Test,perfchild_act_0410_s1_721,Compro11,J84V-CsJ6
Perf Child 722,Test,perfchild_act_0410_s1_722,Compro11,w68k-4K8T
Perf Child 723,Test,perfchild_act_0410_s1_723,Compro11,4HnK-G8oa
Perf Child 724,Test,perfchild_act_0410_s1_724,Compro11,n4kh-Qo8P
Perf Child 725,Test,perfchild_act_0410_s1_725,Compro11,CE4R-Lsgb
Perf Child 726,Test,perfchild_act_0410_s1_726,Compro11,K2f2-4BvH
Perf Child 727,Test,perfchild_act_0410_s1_727,Compro11,47vU-67G6
Perf Child 728,Test,perfchild_act_0410_s1_728,Compro11,Jp2m-G4RG
Perf Child 729,Test,perfchild_act_0410_s1_729,Compro11,c4kd-Nv43
Perf Child 730,Test,perfchild_act_0410_s1_730,Compro11,6CfC-ArTw
Perf Child 731,Test,perfchild_act_0410_s1_731,Compro11,Eyq4-Kchg
Perf Child 732,Test,perfchild_act_0410_s1_732,Compro11,jtqh-niGf
Perf Child 733,Test,perfchild_act_0410_s1_733,Compro11,v2W2-KB97
Perf Child 734,Test,perfchild_act_0410_s1_734,Compro11,4867-3TeC
Perf Child 735,Test,perfchild_act_0410_s1_735,Compro11,n7F3-73TR
Perf Child 736,Test,perfchild_act_0410_s1_736,Compro11,EP2t-a6bG
Perf Child 737,Test,perfchild_act_0410_s1_737,Compro11,2zv8-n3pW
Perf Child 738,Test,perfchild_act_0410_s1_738,Compro11,pkC8-m7By
Perf Child 739,Test,perfchild_act_0410_s1_739,Compro11,j6Nf-8v6q
Perf Child 740,Test,perfchild_act_0410_s1_740,Compro11,A37j-2Ho8
Perf Child 741,Test,perfchild_act_0410_s1_741,Compro11,a62M-oc79
Perf Child 742,Test,perfchild_act_0410_s1_742,Compro11,xF38-zYXj
Perf Child 743,Test,perfchild_act_0410_s1_743,Compro11,73Ni-73E9
Perf Child 744,Test,perfchild_act_0410_s1_744,Compro11,4Aop-xXgw
Perf Child 745,Test,perfchild_act_0410_s1_745,Compro11,nxYG-rw4U
Perf Child 746,Test,perfchild_act_0410_s1_746,Compro11,4zE2-EKQX
Perf Child 747,Test,perfchild_act_0410_s1_747,Compro11,282x-iXR8
Perf Child 748,Test,perfchild_act_0410_s1_748,Compro11,MprX-7J6y
Perf Child 749,Test,perfchild_act_0410_s1_749,Compro11,pFPD-gc8n
Perf Child 750,Test,perfchild_act_0410_s1_750,Compro11,627n-oM2P
Perf Child 751,Test,perfchild_act_0410_s1_751,Compro11,R6Zh-GKvc
Perf Child 752,Test,perfchild_act_0410_s1_752,Compro11,3Hte-j4Gr
Perf Child 753,Test,perfchild_act_0410_s1_753,Compro11,wy62-jwoH
Perf Child 754,Test,perfchild_act_0410_s1_754,Compro11,79uc-6pkX
Perf Child 755,Test,perfchild_act_0410_s1_755,Compro11,dX7E-pRp3
Perf Child 756,Test,perfchild_act_0410_s1_756,Compro11,Ks4Q-DQjb
Perf Child 757,Test,perfchild_act_0410_s1_757,Compro11,kbg2-78Gd
Perf Child 758,Test,perfchild_act_0410_s1_758,Compro11,rf6Z-io4Y
Perf Child 759,Test,perfchild_act_0410_s1_759,Compro11,v7kq-zsdj
Perf Child 760,Test,perfchild_act_0410_s1_760,Compro11,QgjT-f4y8
Perf Child 761,Test,perfchild_act_0410_s1_761,Compro11,8iog-4N9K
Perf Child 762,Test,perfchild_act_0410_s1_762,Compro11,M8VP-d6dr
Perf Child 763,Test,perfchild_act_0410_s1_763,Compro11,hbrw-sbh2
Perf Child 764,Test,perfchild_act_0410_s1_764,Compro11,3G9a-We94
Perf Child 765,Test,perfchild_act_0410_s1_765,Compro11,vy28-6pPL
Perf Child 766,Test,perfchild_act_0410_s1_766,Compro11,u68V-mbyo
Perf Child 767,Test,perfchild_act_0410_s1_767,Compro11,Nmo8-ozNK
Perf Child 768,Test,perfchild_act_0410_s1_768,Compro11,zjeQ-6Pnx
Perf Child 769,Test,perfchild_act_0410_s1_769,Compro11,6u3V-TueW
Perf Child 770,Test,perfchild_act_0410_s1_770,Compro11,p6nL-YGMr
Perf Child 771,Test,perfchild_act_0410_s1_771,Compro11,XeR9-sQ7d
Perf Child 772,Test,perfchild_act_0410_s1_772,Compro11,nc7g-Jtcq
Perf Child 773,Test,perfchild_act_0410_s1_773,Compro11,9DQZ-Xd8y
Perf Child 774,Test,perfchild_act_0410_s1_774,Compro11,zUai-vE47
Perf Child 775,Test,perfchild_act_0410_s1_775,Compro11,kLVo-9qsg
Perf Child 776,Test,perfchild_act_0410_s1_776,Compro11,aq9A-QH7W
Perf Child 777,Test,perfchild_act_0410_s1_777,Compro11,MdQ3-V7ZN
Perf Child 778,Test,perfchild_act_0410_s1_778,Compro11,32f2-xpYh
Perf Child 779,Test,perfchild_act_0410_s1_779,Compro11,4mB9-b4Ke
Perf Child 780,Test,perfchild_act_0410_s1_780,Compro11,c8Km-th2n
Perf Child 781,Test,perfchild_act_0410_s1_781,Compro11,29E7-HyUd
Perf Child 782,Test,perfchild_act_0410_s1_782,Compro11,V36b-7kZ3
Perf Child 783,Test,perfchild_act_0410_s1_783,Compro11,6WK6-zbiB
Perf Child 784,Test,perfchild_act_0410_s1_784,Compro11,3kMX-vCWL
Perf Child 785,Test,perfchild_act_0410_s1_785,Compro11,yT2i-eVGT
Perf Child 786,Test,perfchild_act_0410_s1_786,Compro11,NizM-mCqy
Perf Child 787,Test,perfchild_act_0410_s1_787,Compro11,v328-jCV2
Perf Child 788,Test,perfchild_act_0410_s1_788,Compro11,QxD7-KMqt
Perf Child 789,Test,perfchild_act_0410_s1_789,Compro11,3Q8v-8j36
Perf Child 790,Test,perfchild_act_0410_s1_790,Compro11,8Ne7-Q3X3
Perf Child 791,Test,perfchild_act_0410_s1_791,Compro11,eX4v-TKWk
